0 , 5962 => 0x0
"any , 215 => 0x45
SKILLPROJECTILE: , 214 => 0x46
32 , 209 => 0x47
AirAffinity , 208 => 0x48
WaterAffinity , 203 => 0x49
FireAffinity , 203 => 0x4a
SKILLSTATUSTARGET: , 200 => 0x4b
1.5 , 197 => 0x4c
"Target , 193 => 0x4d
"Permanent" , 191 => 0x4e
"ranged" , 188 => 0x4f
30 , 187 => 0x50
Unit" , 184 => 0x51
7 , 183 => 0x52
"Status" , 180 => 0x53
Time" , 173 => 0x54
"One , 173 => 0x55
"Diamond" , 169 => 0x56
"Secondary" , 162 => 0x57
0.6 , 161 => 0x58
SKILLANIMSTARTFRAME: , 159 => 0x59
SKILLEXCLUDERANGE: , 158 => 0x5a
Combo , 156 => 0x5b
0.4 , 156 => 0x5c
"weapon1" , 156 => 0x5d
"Combo" , 156 => 0x5e
SKILLPROJECTILESEQUENCE: , 149 => 0x5f
36 , 149 => 0x60
"chainstraight" , 148 => 0x61
80 , 147 => 0x62
60 , 146 => 0x63
-5 , 146 => 0x64
"ifevaded" , 144 => 0x65
0.25 , 143 => 0x66
"piercing" , 142 => 0x67
"linear" , 139 => 0x68
"spell" , 134 => 0x69
50 , 132 => 0x6a
1.2 , 132 => 0x6b
SKILLEFFECTFX: , 129 => 0x6c
"statuscond , 129 => 0x6d
"Earth" , 129 => 0x6e
SKILLFXCTAG: , 127 => 0x6f
SKILLPROXY: , 125 => 0x70
Target , 124 => 0x71
Absolute" , 123 => 0x72
14 , 122 => 0x73
"Fire" , 122 => 0x74
"Air" , 121 => 0x75
"template_swingFXSwordMedium" , 120 => 0x76
"okwithnotargets" , 120 => 0x77
SKILLFXPROJECTILE: , 119 => 0x78
"Water" , 118 => 0x79
"template_summonAffinityBeast" , 117 => 0x7a
12 , 113 => 0x7b
"melee" , 109 => 0x7c
"affinityAttack2" , 108 => 0x7d
"movetoattack" , 107 => 0x7e
SKILLSTATUSCHANCE: , 102 => 0x7f
1.1 , 100 => 0x80
11 , 98 => 0x81
self" , 97 => 0x82
not , 97 => 0x83
"Affinity4" , 96 => 0x84
18 , 95 => 0x85
"template_Turtle" , 94 => 0x86
SKILLSTATUSSITUATIONSTATUSCONDITION: , 93 => 0x87
SKILLSTATUSCONDITION: , 90 => 0x88
"friend , 89 => 0x89
defense" , 88 => 0x8a
"xaxis" , 88 => 0x8b
8 , 86 => 0x8c
"Chain" , 85 => 0x8d
"Bounce2" , 84 => 0x8e
SKILLSTATUSINTERVAL: , 80 => 0x8f
req , 79 => 0x90
22 , 76 => 0x91
only , 75 => 0x92
SKILLPROJECTILEATTR: , 75 => 0x93
SKILLDEFENDHANIM: , 75 => 0x94
"Bear , 75 => 0x95
"actSwingR" , 73 => 0x96
"Secutor , 73 => 0x97
0.9 , 72 => 0x98
"Satyr , 72 => 0x99
34 , 71 => 0x9a
-10 , 71 => 0x9b
"ChainSlow" , 71 => 0x9c
"Urlan , 70 => 0x9d
"Mongrel , 70 => 0x9e
"Ludo , 70 => 0x9f
0.55 , 69 => 0xa0
"Murmillo , 69 => 0xa1
"Legionnaire , 69 => 0xa2
0.2 , 68 => 0xa3
"yaxis" , 68 => 0xa4
"template_AffHitEarthH" , 68 => 0xa5
"Wolf , 68 => 0xa6
"Ongoing" , 68 => 0xa7
15 , 67 => 0xa8
"Valens , 67 => 0xa9
"Summoner , 67 => 0xaa
"Peltast , 67 => 0xab
"MongrelShaman , 67 => 0xac
"Minotaur , 67 => 0xad
"Berserker , 67 => 0xae
"Bandit , 66 => 0xaf
"Archer , 66 => 0xb0
"Ogre , 65 => 0xb1
"Gwazi , 65 => 0xb2
"nontarget" , 64 => 0xb3
"Yeti , 64 => 0xb4
"Ursula , 64 => 0xb5
"Eiji , 64 => 0xb6
"Dervish , 64 => 0xb7
"Cyclops , 64 => 0xb8
"Channeler , 64 => 0xb9
"Barbarian , 64 => 0xba
"Amazon , 64 => 0xbb
"template_AffHitFireH" , 63 => 0xbc
"Defend" , 63 => 0xbd
"Centurion , 63 => 0xbe
Attack" , 62 => 0xbf
"Samnite , 62 => 0xc0
"template_AffHitWindH" , 61 => 0xc1
"Gungnir , 61 => 0xc2
"combatdefend , 60 => 0xc3
"Cat , 59 => 0xc4
damagemult" , 58 => 0xc5
9 , 58 => 0xc6
"minusyaxis" , 58 => 0xc7
"template_AffHitWaterH" , 56 => 0xc8
"reactEvade" , 56 => 0xc9
"petrification" , 56 => 0xca
"actBite" , 56 => 0xcb
"Item , 56 => 0xcc
SKILLSTATUSSITUATIONUNITCONDITION: , 55 => 0xcd
"Other" , 55 => 0xce
"class: , 54 => 0xcf
"SourceSquare" , 54 => 0xd0
Return" , 52 => 0xd1
0.75 , 52 => 0xd2
SKILLMOVETOATTACKMOD: , 51 => 0xd3
"weapon2" , 51 => 0xd4
"empty , 50 => 0xd5
"036.036" , 48 => 0xd6
Turtle , 47 => 0xd7
RiposteSub" , 47 => 0xd8
16 , 47 => 0xd9
"immunity , 47 => 0xda
"Ludo" , 47 => 0xdb
19 , 46 => 0xdc
"noninterface" , 46 => 0xdd
"Valens" , 46 => 0xde
"Secutor" , 46 => 0xdf
"Peltast" , 46 => 0xe0
"Murmillo" , 46 => 0xe1
"Berserker" , 46 => 0xe2
Evade" , 45 => 0xe3
DarkAffinity , 45 => 0xe4
"rright" , 45 => 0xe5
"poison" , 45 => 0xe6
"Ursula" , 45 => 0xe7
"Scorpion , 45 => 0xe8
"Satyr" , 45 => 0xe9
"Minotaur" , 45 => 0xea
status" , 44 => 0xeb
0.3 , 44 => 0xec
"UndeadMelee , 44 => 0xed
"UndeadCaster , 44 => 0xee
"Scarab , 44 => 0xef
"Mongrel" , 44 => 0xf0
"Miss , 44 => 0xf1
"Legionnaire" , 44 => 0xf2
"Eiji" , 44 => 0xf3
"Centurion" , 44 => 0xf4
"Amazon" , 44 => 0xf5
Area , 43 => 0xf6
"Yeti" , 43 => 0xf7
"Urlan" , 43 => 0xf8
"Samnite" , 43 => 0xf9
"Ogre" , 43 => 0xfa
"MongrelShaman" , 43 => 0xfb
"Gwazi" , 43 => 0xfc
"Dervish" , 43 => 0xfd
"Archer" , 43 => 0xfe
38 , 42 => 0xff
24 , 42 => 0x100
"037.037" , 42 => 0x101
SKILLWEAPONREQ: , 41 => 0x102
"Gungnir" , 41 => 0x103
"Barbarian" , 41 => 0x104
17 , 40 => 0x105
"DarkLegionnaire , 40 => 0x106
13 , 39 => 0x107
-50 , 39 => 0x108
"SrcLinear2x2" , 39 => 0x109
moverate" , 38 => 0x10a
SKILLFREE1: , 38 => 0x10b
"template_AffHitDarkM" , 38 => 0x10c
"actShoot" , 38 => 0x10d
"Wolf" , 38 => 0x10e
"Mutuus , 38 => 0x10f
"DarkCat , 38 => 0x110
"Cyclops" , 38 => 0x111
"hitWeakF" , 37 => 0x112
"frozen" , 37 => 0x113
"bite" , 37 => 0x114
"Summoner" , 37 => 0x115
"Plus2x2" , 37 => 0x116
"Bear" , 37 => 0x117
"Basic" , 37 => 0x118
3607 , 36 => 0x119
"Bounce1" , 36 => 0x11a
"Bandit" , 36 => 0x11b
"Avoid" , 36 => 0x11c
percent" , 35 => 0x11d
initiative" , 35 => 0x11e
SKILLSTATUS2: , 35 => 0x11f
"template_AffHitWindL" , 35 => 0x120
"actSwingTR" , 35 => 0x121
"Cat" , 35 => 0x122
1.75 , 34 => 0x123
-2 , 34 => 0x124
"affinityAir_affinity4Shower" , 34 => 0x125
4019 , 33 => 0x126
"template_AffHitFireM" , 33 => 0x127
"affinityFire_affinity4Shower" , 33 => 0x128
"actClaw" , 33 => 0x129
"Channeler" , 33 => 0x12a
"Change , 33 => 0x12b
4003 , 32 => 0x12c
4002 , 32 => 0x12d
"template_AffHitEarthL" , 32 => 0x12e
"actThrow" , 32 => 0x12f
"UndeadCaster" , 32 => 0x130
"Scorpion" , 32 => 0x131
"Scarab" , 32 => 0x132
"Counterattack" , 32 => 0x133
"038.038" , 32 => 0x134
Negated" , 31 => 0x135
7827 , 31 => 0x136
1.25 , 31 => 0x137
"template_AffHitWaterL" , 31 => 0x138
"template_AffHitFireL" , 31 => 0x139
"shield" , 31 => 0x13a
"rup" , 31 => 0x13b
"affinityEarth_affinity4Shower" , 31 => 0x13c
"actSwingU" , 31 => 0x13d
"Until , 31 => 0x13e
"DarkWolf , 31 => 0x13f
"Dark" , 31 => 0x140
"AffinityEarthGreater" , 31 => 0x141
6541 , 30 => 0x142
6540 , 30 => 0x143
0.35 , 30 => 0x144
"los_sourcetargetoff" , 30 => 0x145
"amazon_sparksHit" , 30 => 0x146
"all , 30 => 0x147
"affinityWater_affinity4Shower" , 30 => 0x148
"UndeadMelee" , 30 => 0x149
"Pound3" , 30 => 0x14a
"Lapse , 30 => 0x14b
"DarkLegionnaire" , 30 => 0x14c
"AffinityWaterGreater" , 30 => 0x14d
"AffinityAirGreater" , 30 => 0x14e
SKILLFXPROJECTILEIMPACT: , 29 => 0x14f
Block" , 29 => 0x150
6564 , 29 => 0x151
6563 , 29 => 0x152
6547 , 29 => 0x153
6546 , 29 => 0x154
6528 , 29 => 0x155
6527 , 29 => 0x156
6525 , 29 => 0x157
"template_AffHitWindM" , 29 => 0x158
"template_AffHitWaterM" , 29 => 0x159
"template_AffHitEarthM" , 29 => 0x15a
"bleeding" , 29 => 0x15b
"affinity4" , 29 => 0x15c
"Mutuus" , 29 => 0x15d
"FastButton1" , 29 => 0x15e
"039.039" , 29 => 0x15f
SKILLSTATUSDURATION2: , 28 => 0x160
6562 , 28 => 0x161
6539 , 28 => 0x162
6526 , 28 => 0x163
"unitattr , 28 => 0x164
"bow" , 28 => 0x165
"Shield , 28 => 0x166
Evade , 27 => 0x167
6561 , 27 => 0x168
6560 , 27 => 0x169
4008 , 27 => 0x16a
4007 , 27 => 0x16b
"Knockdown" , 27 => 0x16c
"DarkCat" , 27 => 0x16d
"040.040" , 27 => 0x16e
SKILLSUMMONDATA: , 26 => 0x16f
Break" , 26 => 0x170
6545 , 26 => 0x171
6544 , 26 => 0x172
6538 , 26 => 0x173
4006 , 26 => 0x174
4001 , 26 => 0x175
"summon" , 26 => 0x176
"actSwingL" , 26 => 0x177
"Summon" , 26 => 0x178
"AffinityFireGreater" , 26 => 0x179
4009 , 25 => 0x17a
3998 , 25 => 0x17b
3997 , 25 => 0x17c
"default" , 25 => 0x17d
"Precision1" , 25 => 0x17e
with , 24 => 0x17f
order" , 24 => 0x180
4029 , 24 => 0x181
4027 , 24 => 0x182
4026 , 24 => 0x183
4014 , 24 => 0x184
4013 , 24 => 0x185
4012 , 24 => 0x186
4011 , 24 => 0x187
3999 , 24 => 0x188
3996 , 24 => 0x189
"template_AffHitDarkL" , 24 => 0x18a
"Galverg , 24 => 0x18b
"041.041" , 24 => 0x18c
Run , 23 => 0x18d
4028 , 23 => 0x18e
"skillattr , 23 => 0x18f
"combatattack , 23 => 0x190
"affinity , 23 => 0x191
"Loop2" , 23 => 0x192
units , 22 => 0x193
shield" , 22 => 0x194
mult" , 22 => 0x195
has , 22 => 0x196
6542 , 22 => 0x197
-20 , 22 => 0x198
"template_affinityDarkSword" , 22 => 0x199
"target , 22 => 0x19a
"actBasic" , 22 => 0x19b
"Hit , 22 => 0x19c
"DarkWolf" , 22 => 0x19d
SKILLSHIFTDATA: , 21 => 0x19e
Relative" , 21 => 0x19f
MALE" , 21 => 0x1a0
6558 , 21 => 0x1a1
"template_changeForm" , 21 => 0x1a2
"changeFormAway" , 21 => 0x1a3
"archer_joltArrowHit" , 21 => 0x1a4
"ShiftTo" , 21 => 0x1a5
"CyclopsGreater , 21 => 0x1a6
"CatGreater , 21 => 0x1a7
SKILLSTATUSCHANCE2: , 20 => 0x1a8
HP , 20 => 0x1a9
4024 , 20 => 0x1aa
-1 , 20 => 0x1ab
"rleft" , 20 => 0x1ac
"changeforminto" , 20 => 0x1ad
"actSwingT" , 20 => 0x1ae
"Square2x2" , 20 => 0x1af
"Pound2" , 20 => 0x1b0
"DarkGod" , 20 => 0x1b1
"042.042" , 20 => 0x1b2
SKILLMOVEANIM: , 19 => 0x1b3
Paw , 19 => 0x1b4
Caster" , 19 => 0x1b5
0.699999988079071 , 19 => 0x1b6
"Reverse , 19 => 0x1b7
"Knockback" , 19 => 0x1b8
"Galverg" , 19 => 0x1b9
"AffinityBeastGreater" , 19 => 0x1ba
"AffinityBeastGreater , 19 => 0x1bb
SKILLSTATUSSITUATIONSKILLCONDITION: , 18 => 0x1bc
SKILLLOOPANIM: , 18 => 0x1bd
Cause" , 18 => 0x1be
6275 , 18 => 0x1bf
"template_targetHitBloodArm" , 18 => 0x1c0
"summoner_AffinityPortal" , 18 => 0x1c1
"attackcamera" , 18 => 0x1c2
"Precision2" , 18 => 0x1c3
"Galdr" , 18 => 0x1c4
"Galdr , 18 => 0x1c5
"FastButton2" , 18 => 0x1c6
"CyclopsGreater" , 18 => 0x1c7
"Black" , 18 => 0x1c8
"AffinityBeast" , 18 => 0x1c9
"AffinityBeast , 18 => 0x1ca
moverate , 17 => 0x1cb
face , 17 => 0x1cc
accuracy" , 17 => 0x1cd
SKILLSTATUSSITUATIONSTATUSCONDITION2: , 17 => 0x1ce
SKILLFREE4: , 17 => 0x1cf
SKILLFREE3: , 17 => 0x1d0
SKILLFREE2: , 17 => 0x1d1
6529 , 17 => 0x1d2
4010 , 17 => 0x1d3
"template_swingFXSwordSmall" , 17 => 0x1d4
"template_affinityEarthSwordMedium" , 17 => 0x1d5
"template_affinityEarth3SwordMedium" , 17 => 0x1d6
"template_affinityEarth2SwordMedium" , 17 => 0x1d7
"summoner_AffinityPortalFlash" , 17 => 0x1d8
"affinityPortal" , 17 => 0x1d9
"actswingStaff" , 17 => 0x1da
"WolfGreater , 17 => 0x1db
"Prop , 17 => 0x1dc
back , 16 => 0x1dd
Riposte" , 16 => 0x1de
Defend , 16 => 0x1df
0.7 , 16 => 0x1e0
"template_affinityFireProjectile" , 16 => 0x1e1
"template_affinityAirCast" , 16 => 0x1e2
"stun" , 16 => 0x1e3
"reactDeflect" , 16 => 0x1e4
"WolfGreater" , 16 => 0x1e5
"Prop" , 16 => 0x1e6
"FastButton3" , 16 => 0x1e7
"CatGreater" , 16 => 0x1e8
petrified" , 15 => 0x1e9
frozen" , 15 => 0x1ea
blind" , 15 => 0x1eb
6543 , 15 => 0x1ec
25 , 15 => 0x1ed
-30 , 15 => 0x1ee
"template_swingFXSwordLarge" , 15 => 0x1ef
"template_affinityFireSwordMedium" , 15 => 0x1f0
"template_affinityFire3SwordMedium" , 15 => 0x1f1
"template_affinityFire2SwordMedium" , 15 => 0x1f2
"template_affinityEarthCast" , 15 => 0x1f3
"template_affinityAir3SwordMedium" , 15 => 0x1f4
"summoner_AffinityPortalCast" , 15 => 0x1f5
"fear" , 15 => 0x1f6
"actPincher" , 15 => 0x1f7
"actPThrust" , 15 => 0x1f8
"actCast2" , 15 => 0x1f9
"BearGreater , 15 => 0x1fa
stunned" , 14 => 0x1fb
confused" , 14 => 0x1fc
Wolf" , 14 => 0x1fd
TargetLeg" , 14 => 0x1fe
SKILLEFFECTSTATUSCOND: , 14 => 0x1ff
KickingAttack , 14 => 0x200
6553 , 14 => 0x201
"template_hitDeflect" , 14 => 0x202
"template_hitBlock" , 14 => 0x203
"template_affinityWaterSwordMedium" , 14 => 0x204
"template_affinityWaterProjectile" , 14 => 0x205
"template_affinityFireCast" , 14 => 0x206
"template_affinityAirSwordMedium" , 14 => 0x207
"template_affinityAirProjectile" , 14 => 0x208
"template_affinityAir2SwordMedium" , 14 => 0x209
"reactDefend" , 14 => 0x20a
"SourceCone" , 14 => 0x20b
"Block" , 14 => 0x20c
root" , 13 => 0x20d
Shield" , 13 => 0x20e
SKILLSTATUSCONDITION2: , 13 => 0x20f
BearForm , 13 => 0x210
7940 , 13 => 0x211
6533 , 13 => 0x212
6532 , 13 => 0x213
6531 , 13 => 0x214
500 , 13 => 0x215
4032 , 13 => 0x216
4020 , 13 => 0x217
1591 , 13 => 0x218
0.8 , 13 => 0x219
0.1 , 13 => 0x21a
"template_targetHitBloodLeg" , 13 => 0x21b
"template_affinityWater3SwordMedium" , 13 => 0x21c
"template_affinityWater2SwordMedium" , 13 => 0x21d
"skill: , 13 => 0x21e
"multihit" , 13 => 0x21f
"Retreat" , 13 => 0x220
"BearGreater" , 13 => 0x221
initiative , 12 => 0x222
ign , 12 => 0x223
charmed" , 12 => 0x224
TargetArm" , 12 => 0x225
SKILLSTATUSTARGET2: , 12 => 0x226
Awareness" , 12 => 0x227
6573 , 12 => 0x228
6530 , 12 => 0x229
4000 , 12 => 0x22a
"ursula_SpellcastHit" , 12 => 0x22b
"template_affinityWaterCast" , 12 => 0x22c
"targetHead" , 12 => 0x22d
"actSwingTL" , 12 => 0x22e
"actSwing" , 12 => 0x22f
"actAxeSwingTR" , 12 => 0x230
"Pound1" , 12 => 0x231
"Loop1" , 12 => 0x232
"Helmet , 12 => 0x233
"023.023" , 12 => 0x234
rate" , 11 => 0x235
melee" , 11 => 0x236
charge , 11 => 0x237
affinity , 11 => 0x238
SKILLSTATUSSITUATIONAFFINITYCONDITION2: , 11 => 0x239
SKILLMULTIHITDATA: , 11 => 0x23a
OffBalance" , 11 => 0x23b
IndomitableWill" , 11 => 0x23c
DestroyHelm" , 11 => 0x23d
7939 , 11 => 0x23e
7938 , 11 => 0x23f
7937 , 11 => 0x240
6575 , 11 => 0x241
6549 , 11 => 0x242
6535 , 11 => 0x243
6534 , 11 => 0x244
4016 , 11 => 0x245
4015 , 11 => 0x246
3929 , 11 => 0x247
-15 , 11 => 0x248
"template_affinityEarthProjectile" , 11 => 0x249
"targetstatus , 11 => 0x24a
"channeler" , 11 => 0x24b
"actPaw" , 11 => 0x24c
"SourceLinear" , 11 => 0x24d
"043.043" , 11 => 0x24e
off , 10 => 0x24f
WolfForm , 10 => 0x250
Source" , 10 => 0x251
ShiftReturn" , 10 => 0x252
LongShot , 10 => 0x253
HeavyStrike" , 10 => 0x254
DestroyShield" , 10 => 0x255
Crowd , 10 => 0x256
CoverSub" , 10 => 0x257
Cat" , 10 => 0x258
6698 , 10 => 0x259
6597 , 10 => 0x25a
6536 , 10 => 0x25b
4054 , 10 => 0x25c
4041 , 10 => 0x25d
4004 , 10 => 0x25e
0.899999976158142 , 10 => 0x25f
"dontface" , 10 => 0x260
"Breakout" , 10 => 0x261
feared" , 9 => 0x262
Wiseguy" , 9 => 0x263
TargetHead" , 9 => 0x264
Target" , 9 => 0x265
SKILLSTATUSSITUATIONAFFINITYCONDITION: , 9 => 0x266
Cover" , 9 => 0x267
7944 , 9 => 0x268
6857 , 9 => 0x269
6856 , 9 => 0x26a
6559 , 9 => 0x26b
6556 , 9 => 0x26c
4870 , 9 => 0x26d
4368 , 9 => 0x26e
4367 , 9 => 0x26f
4366 , 9 => 0x270
4022 , 9 => 0x271
3605 , 9 => 0x272
200 , 9 => 0x273
"template_targetHitBloodHead" , 9 => 0x274
"template_affinityFire2Projectile" , 9 => 0x275
"template_affinityEarth2Projectile" , 9 => 0x276
"rakingAttack" , 9 => 0x277
"javelin" , 9 => 0x278
"attack" , 9 => 0x279
"amazon_Wink" , 9 => 0x27a
"affinityPower" , 9 => 0x27b
"actCast" , 9 => 0x27c
"Turns , 9 => 0x27d
"SourceDiamond" , 9 => 0x27e
"Plus3x3" , 9 => 0x27f
units" , 8 => 0x280
WolfGreater" , 8 => 0x281
Snarl , 8 => 0x282
SKILLSTATUSSITUATIONUNITCONDITION2: , 8 => 0x283
RakingAttack" , 8 => 0x284
PrecisionAttack" , 8 => 0x285
PackMentality , 8 => 0x286
DistanceThrow , 8 => 0x287
Bite" , 8 => 0x288
Beast_Summoned" , 8 => 0x289
999 , 8 => 0x28a
7948 , 8 => 0x28b
7947 , 8 => 0x28c
7946 , 8 => 0x28d
75 , 8 => 0x28e
7004 , 8 => 0x28f
6860 , 8 => 0x290
6700 , 8 => 0x291
6554 , 8 => 0x292
5250 , 8 => 0x293
5249 , 8 => 0x294
300 , 8 => 0x295
1638 , 8 => 0x296
"won" , 8 => 0x297
"template_affinityAir2Projectile" , 8 => 0x298
"targetLeg" , 8 => 0x299
"songStart" , 8 => 0x29a
"songLoop" , 8 => 0x29b
"galdr_song" , 8 => 0x29c
"comboThrow" , 8 => 0x29d
"bandit" , 8 => 0x29e
"actSwingZap" , 8 => 0x29f
"SrcLinear3x3" , 8 => 0x2a0
"Precision3" , 8 => 0x2a1
"Invalid" , 8 => 0x2a2
"DarkGodShiva , 8 => 0x2a3
"024.024" , 8 => 0x2a4
fire" , 7 => 0x2a5
WiseguySub" , 7 => 0x2a6
Bulldoze , 7 => 0x2a7
BackAtchaSub" , 7 => 0x2a8
Attack , 7 => 0x2a9
7943 , 7 => 0x2aa
7942 , 7 => 0x2ab
7941 , 7 => 0x2ac
6998 , 7 => 0x2ad
4357 , 7 => 0x2ae
4023 , 7 => 0x2af
3608 , 7 => 0x2b0
28 , 7 => 0x2b1
2.5 , 7 => 0x2b2
1135 , 7 => 0x2b3
"valens_WideSwing" , 7 => 0x2b4
"spearanim" , 7 => 0x2b5
"shieldSmash" , 7 => 0x2b6
"self , 7 => 0x2b7
"mult , 7 => 0x2b8
"fierceAttackStrikeOne" , 7 => 0x2b9
"crowd , 7 => 0x2ba
"cover" , 7 => 0x2bb
"confusion" , 7 => 0x2bc
"blind" , 7 => 0x2bd
"attackCombo" , 7 => 0x2be
"ambush" , 7 => 0x2bf
"all" , 7 => 0x2c0
"actSummon" , 7 => 0x2c1
"actPunch" , 7 => 0x2c2
"Group , 7 => 0x2c3
"DarkGodDragon , 7 => 0x2c4
wounded" , 6 => 0x2c5
spell" , 6 => 0x2c6
power , 6 => 0x2c7
poison" , 6 => 0x2c8
on , 6 => 0x2c9
bleeding" , 6 => 0x2ca
affinity" , 6 => 0x2cb
Teleport" , 6 => 0x2cc
SKILLUSABILITYCONDITION: , 6 => 0x2cd
SKILLSPLITEFFECTCONDITION: , 6 => 0x2ce
SKILLPROJECTILEROTATION: , 6 => 0x2cf
SKILLMOVERANGE: , 6 => 0x2d0
SKILLEFFECTSKILLCOND: , 6 => 0x2d1
Mongrel , 6 => 0x2d2
Melee_Summoned" , 6 => 0x2d3
Growl , 6 => 0x2d4
Failed , 6 => 0x2d5
Condition" , 6 => 0x2d6
6634 , 6 => 0x2d7
42 , 6 => 0x2d8
4034 , 6 => 0x2d9
4021 , 6 => 0x2da
0.349999994039536 , 6 => 0x2db
"wolfGreater_Snarl" , 6 => 0x2dc
"wink" , 6 => 0x2dd
"template_affinityWaterSwordLarge" , 6 => 0x2de
"template_affinityWater3SwordLarge" , 6 => 0x2df
"template_affinityWater2SwordLarge" , 6 => 0x2e0
"template_affinityFireSwordLarge" , 6 => 0x2e1
"template_affinityFire3SwordLarge" , 6 => 0x2e2
"template_affinityFire2SwordLarge" , 6 => 0x2e3
"template_affinityEarthSwordLarge" , 6 => 0x2e4
"template_affinityEarth3SwordLarge" , 6 => 0x2e5
"template_affinityEarth2SwordLarge" , 6 => 0x2e6
"template_affinityAirSwordLarge" , 6 => 0x2e7
"template_affinityAir3SwordLarge" , 6 => 0x2e8
"template_affinityAir2SwordLarge" , 6 => 0x2e9
"targetArm" , 6 => 0x2ea
"sourcestatus , 6 => 0x2eb
"songEnd" , 6 => 0x2ec
"root" , 6 => 0x2ed
"return" , 6 => 0x2ee
"rakingAttacks" , 6 => 0x2ef
"minotaur_Maze" , 6 => 0x2f0
"kickingAttack" , 6 => 0x2f1
"flirt" , 6 => 0x2f2
"channeler_fireStorm" , 6 => 0x2f3
"cat_Growl" , 6 => 0x2f4
"actGrowl" , 6 => 0x2f5
"actDualSwing" , 6 => 0x2f6
"actBiteLow" , 6 => 0x2f7
"actBiteCombo" , 6 => 0x2f8
"actAxeSwingR" , 6 => 0x2f9
"Undead , 6 => 0x2fa
"Snarl" , 6 => 0x2fb
"Effect" , 6 => 0x2fc
"025.025" , 6 => 0x2fd
woundedquarter" , 5 => 0x2fe
water" , 5 => 0x2ff
positive , 5 => 0x300
critmult" , 5 => 0x301
air" , 5 => 0x302
ThreateningGlare , 5 => 0x303
SummonSkeleton , 5 => 0x304
Status" , 5 => 0x305
Scratch" , 5 => 0x306
SKILLMOVERANGECONDITION: , 5 => 0x307
SKILLFXMOVE: , 5 => 0x308
Grid" , 5 => 0x309
CripplingBlow" , 5 => 0x30a
Courage" , 5 => 0x30b
CatForm , 5 => 0x30c
7945 , 5 => 0x30d
7621 , 5 => 0x30e
6749 , 5 => 0x30f
6630 , 5 => 0x310
6557 , 5 => 0x311
6555 , 5 => 0x312
4291 , 5 => 0x313
4290 , 5 => 0x314
4289 , 5 => 0x315
4288 , 5 => 0x316
4287 , 5 => 0x317
4286 , 5 => 0x318
4285 , 5 => 0x319
4284 , 5 => 0x31a
4282 , 5 => 0x31b
4281 , 5 => 0x31c
4280 , 5 => 0x31d
4279 , 5 => 0x31e
4278 , 5 => 0x31f
4276 , 5 => 0x320
4156 , 5 => 0x321
4155 , 5 => 0x322
4154 , 5 => 0x323
4153 , 5 => 0x324
4085 , 5 => 0x325
1631 , 5 => 0x326
1625 , 5 => 0x327
1608 , 5 => 0x328
1.3 , 5 => 0x329
0.01 , 5 => 0x32a
"wolf_Heal" , 5 => 0x32b
"wolfGreater_pullDown" , 5 => 0x32c
"wiseGuy" , 5 => 0x32d
"translateanim" , 5 => 0x32e
"threateningGlare" , 5 => 0x32f
"template_generic2Projectile" , 5 => 0x330
"template_dazeCast" , 5 => 0x331
