SKILLCOSTS: 1 0  => 0x0
SKILLDESCRIPTIONID: 6525  => 0xc5
SKILLWEAPONREQ: "bow"  => 0xc6
SKILLDESCRIPTIONID: 6562  => 0xc7
SKILLDESCRIPTIONID: 6539  => 0xc8
SKILLDESCRIPTIONID: 6526  => 0xc9
SKILLATTRIBUTE: "shield"  => 0xca
SKILLANIM: "actBite"  => 0xcb
SKILLUSECLASS: "DarkCat"  => 0xcc
SKILLSOUND: "040.040"  => 0xcd
SKILLEFFECTRANGE: 0 "Square"  => 0xce
SKILLEFFECT: "Counterattack" 100 1  => 0xcf
SKILLDISPLAYNAMEID: 4008  => 0xd0
SKILLDISPLAYNAMEID: 4007  => 0xd1
SKILLDESCRIPTIONID: 6561  => 0xd2
SKILLDESCRIPTIONID: 6560  => 0xd3
SKILLCOMBATMODS: 0 1.25  => 0xd4
SKILLSTATUSCONDITION: "friend only not self"  => 0xd5
SKILLSTATUS: "summon" 100 1  => 0xd6
SKILLMETER: "FastButton1" 1 1  => 0xd7
SKILLEFFECTRANGE: 1 "SourceSquare"  => 0xd8
SKILLEFFECTCONDITION: "empty square"  => 0xd9
SKILLEFFECT: "Summon" 100 1  => 0xda
SKILLDISPLAYNAMEID: 4006  => 0xdb
SKILLDISPLAYNAMEID: 4001  => 0xdc
SKILLDESCRIPTIONID: 6545  => 0xdd
SKILLDESCRIPTIONID: 6544  => 0xde
SKILLDESCRIPTIONID: 6538  => 0xdf
SKILLSTATUS: "immunity status" 100 1  => 0xe0
SKILLPROXY: "AffinityEarthGreater" "Affinity4"  => 0xe1
SKILLJOBPOINTCOST: 2  => 0xe2
SKILLEXCLUDERANGE: 0 "Square"  => 0xe3
SKILLDISPLAYNAMEID: 4009  => 0xe4
SKILLDISPLAYNAMEID: 3998  => 0xe5
SKILLDISPLAYNAMEID: 3997  => 0xe6
SKILLSTATUS: "change defense" 100 5  => 0xe7
SKILLSOUND: "041.041"  => 0xe8
SKILLRANGE: 5 "Square"  => 0xe9
SKILLPROXY: "AffinityWaterGreater" "Affinity4"  => 0xea
SKILLPROXY: "AffinityAirGreater" "Affinity4"  => 0xeb
SKILLFX: "template_AffHitDarkL"  => 0xec
SKILLEXCLUDERANGE: 0 "Self"  => 0xed
SKILLEFFECTCONDITION: "friend only not self"  => 0xee
SKILLDISPLAYNAMEID: 4029  => 0xef
SKILLDISPLAYNAMEID: 4027  => 0xf0
SKILLDISPLAYNAMEID: 4026  => 0xf1
SKILLDISPLAYNAMEID: 4014  => 0xf2
SKILLDISPLAYNAMEID: 4013  => 0xf3
SKILLDISPLAYNAMEID: 4012  => 0xf4
SKILLDISPLAYNAMEID: 4011  => 0xf5
SKILLDISPLAYNAMEID: 3999  => 0xf6
SKILLDISPLAYNAMEID: 3996  => 0xf7
SKILLCOSTS: 0.6 0  => 0xf8
SKILLANIM: "actThrow"  => 0xf9
SKILLSTATUS: "change moverate" 100 -50  => 0xfa
SKILLSTATUS: "change defense" 100 20  => 0xfb
SKILLRANGE: 6 "Square"  => 0xfc
SKILLDISPLAYNAMEID: 4028  => 0xfd
SKILLUSECLASS: "DarkWolf"  => 0xfe
SKILLRANGE: 4 "Square"  => 0xff
SKILLRANGE: 2 "Square"  => 0x100
SKILLPROXY: "AffinityFireGreater" "Affinity4"  => 0x101
SKILLMETER: "Chain" 0 5  => 0x102
SKILLFXSWING: "template_affinityDarkSword"  => 0x103
SKILLDESCRIPTIONID: 6542  => 0x104
SKILLCOMBATMODS: 0 0.3  => 0x105
SKILLCOMBATMODS: -2 0.4  => 0x106
SKILLSTATUSDURATION: "Stack Target Mult" 2  => 0x107
SKILLSTATUSCONDITION: "enemy only"  => 0x108
SKILLRANGE: 3 "Diamond"  => 0x109
SKILLMETER: "None" 1 0.5  => 0x10a
SKILLMETER: "Chain" 0 4  => 0x10b
SKILLMETER: "Chain" 0 3  => 0x10c
SKILLMETER: "Chain" 0 2  => 0x10d
SKILLFXPROJECTILEIMPACT: "archer_joltArrowHit"  => 0x10e
SKILLFX: "template_changeForm"  => 0x10f
SKILLEFFECTRANGE: 1 "Square"  => 0x110
SKILLDESCRIPTIONID: 6558  => 0x111
SKILLDEFENDHANIM: "changeFormAway"  => 0x112
SKILLCOMBATMODS: 0 0.4  => 0x113
SKILLANIMSPEED: "actSwingR" 1  => 0x114
SKILLUSECLASS: "DarkGod"  => 0x115
SKILLSTATUSCHANCE2: 100  => 0x116
SKILLSOUND: "042.042"  => 0x117
SKILLMETER: "Pound3" 0.2 0.9  => 0x118
SKILLEFFECT: "ShiftTo" 100 0  => 0x119
SKILLDISPLAYNAMEID: 4024  => 0x11a
SKILLCOMBOBUTTON: "rleft"  => 0x11b
SKILLANIMSTARTFRAME: 10  => 0x11c
SKILLANIM: "changeforminto"  => 0x11d
SKILLUSECLASS: "Galverg"  => 0x11e
SKILLUSECLASS: "AffinityBeastGreater"  => 0x11f
SKILLTARGETCONDITION: "empty square"  => 0x120
SKILLSTATUSDURATION: "Lapse with order" 1  => 0x121
SKILLRANGE: 32 "Square"  => 0x122
SKILLUSECLASS: "Galdr"  => 0x123
SKILLUSECLASS: "CyclopsGreater"  => 0x124
SKILLUSECLASS: "AffinityBeast"  => 0x125
SKILLSTATUSDURATION: "Stack Source Mult" 5  => 0x126
SKILLSTATUS: "bleeding" 100 1  => 0x127
SKILLMOVETOATTACKMOD: 2  => 0x128
SKILLMETER: "ChainSlow" 0 4  => 0x129
SKILLMETER: "ChainSlow" 0 3  => 0x12a
SKILLMETER: "ChainSlow" 0 2  => 0x12b
SKILLEFFECTFX: "summoner_AffinityPortal"  => 0x12c
SKILLEFFECT: "Knockdown" 100 1  => 0x12d
SKILLEFFECT: "Knockback" 100 1  => 0x12e
SKILLDISPLAYNAMEID: 6275  => 0x12f
SKILLATTRIBUTE: "attackcamera"  => 0x130
SKILLAFFCOST: 10  => 0x131
SKILLTARGETCONDITION: "target has shield"  => 0x132
SKILLMETER: "Pound2" 0.2 0.9  => 0x133
SKILLMETER: "ChainSlow" 0 5  => 0x134
SKILLFXSWING: "template_swingFXSwordSmall"  => 0x135
SKILLFXSWING: "template_affinityEarthSwordMedium"  => 0x136
SKILLFXSWING: "template_affinityEarth3SwordMedium"  => 0x137
SKILLFXSWING: "template_affinityEarth2SwordMedium"  => 0x138
SKILLFX: "summoner_AffinityPortalFlash"  => 0x139
SKILLEFFECTCONDITION: "all units not self"  => 0x13a
SKILLDISPLAYNAMEID: 4010  => 0x13b
SKILLDESCRIPTIONID: 6529  => 0x13c
SKILLANIMTIME: "actSwingR" 0.6  => 0x13d
SKILLANIMSPEED: "affinityPortal" 1  => 0x13e
SKILLUSECLASS: "WolfGreater"  => 0x13f
SKILLUSECLASS: "Prop"  => 0x140
SKILLUSECLASS: "CatGreater"  => 0x141
SKILLSTATUSDURATION: "Stack Target Mult" 1.5  => 0x142
SKILLSTATUS: "change moverate percent" 100 -50  => 0x143
SKILLMOVETOATTACKMOD: 1  => 0x144
SKILLMETER: "FastButton3" 1 1  => 0x145
SKILLMETER: "FastButton2" 1 1  => 0x146
SKILLFXSWING: "template_affinityAirCast"  => 0x147
SKILLFXPROJECTILE: "template_affinityFireProjectile"  => 0x148
SKILLCOMBATMODS: 0 0.6  => 0x149
SKILLANIM: "reactDeflect"  => 0x14a
SKILLRANGE: 9 "Diamond"  => 0x14b
SKILLMOVETOATTACKMOD: -1  => 0x14c
SKILLFXSWING: "template_swingFXSwordLarge"  => 0x14d
SKILLFXSWING: "template_affinityFireSwordMedium"  => 0x14e
SKILLFXSWING: "template_affinityFire3SwordMedium"  => 0x14f
SKILLFXSWING: "template_affinityFire2SwordMedium"  => 0x150
SKILLFXSWING: "template_affinityEarthCast"  => 0x151
SKILLFXSWING: "summoner_AffinityPortalCast"  => 0x152
SKILLDESCRIPTIONID: 6543  => 0x153
SKILLCOMBATMODS: -10 0.6  => 0x154
SKILLANIMTIME: "actSwingU" 1  => 0x155
SKILLANIMTIME: "actShoot" 1  => 0x156
SKILLANIMSPEED: "actBite" 1  => 0x157
SKILLANIM: "actswingStaff"  => 0x158
SKILLAFFCOST: 20  => 0x159
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond blind"  => 0x15a
SKILLSTATUS: "fear" 100 1  => 0x15b
SKILLFXSWING: "template_affinityWaterSwordMedium"  => 0x15c
SKILLFXSWING: "template_affinityFireCast"  => 0x15d
SKILLFXSWING: "template_affinityAirSwordMedium"  => 0x15e
SKILLFXSWING: "template_affinityAir3SwordMedium"  => 0x15f
SKILLFXSWING: "template_affinityAir2SwordMedium"  => 0x160
SKILLFXPROJECTILE: "template_affinityWaterProjectile"  => 0x161
SKILLFXPROJECTILE: "template_affinityAirProjectile"  => 0x162
SKILLFX: "template_hitDeflect"  => 0x163
SKILLFX: "template_hitBlock"  => 0x164
SKILLEFFECTRANGE: 2 "SourceSquare"  => 0x165
SKILLEFFECT: "Block" 100 0  => 0x166
SKILLDESCRIPTIONID: 6553  => 0x167
SKILLANIMSTARTFRAME: 0  => 0x168
SKILLANIMSPEED: "actClaw" 1  => 0x169
SKILLANIM: "reactDefend"  => 0x16a
SKILLANIM: "affinityAttack2"  => 0x16b
SKILLANIM: "actShoot"  => 0x16c
SKILLUSECLASS: "BearGreater"  => 0x16d
SKILLSTATUSDURATION: "Stack Absolute" 500  => 0x16e
SKILLSTATUS: "combatdefend damagemult" 100 0.5  => 0x16f
SKILLRANGE: 7 "Diamond"  => 0x170
SKILLFXSWING: "template_affinityWater3SwordMedium"  => 0x171
SKILLFXSWING: "template_affinityWater2SwordMedium"  => 0x172
SKILLEFFECTFX: "template_targetHitBloodLeg"  => 0x173
SKILLEFFECT: "Shield Block" 100 1  => 0x174
SKILLDISPLAYNAMEID: 4032  => 0x175
SKILLDISPLAYNAMEID: 4020  => 0x176
SKILLDISPLAYNAMEID: 1591  => 0x177
SKILLDESCRIPTIONID: 7940  => 0x178
SKILLDESCRIPTIONID: 6533  => 0x179
SKILLDESCRIPTIONID: 6532  => 0x17a
SKILLDESCRIPTIONID: 6531  => 0x17b
SKILLCOMBATMODS: 0 2  => 0x17c
SKILLCOMBATMODS: -5 1  => 0x17d
SKILLATTRIBUTE: "multihit"  => 0x17e
SKILLANIM: "actSwingR"  => 0x17f
SKILLTARGETCONDITION: "unitattr req MALE"  => 0x180
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond frozen"  => 0x181
SKILLSTATUSDURATION: "Stack Target Mult" 3  => 0x182
SKILLSTATUSDURATION: "Stack Source Mult" 2  => 0x183
SKILLSTATUS: "combatdefend face back mult" 100 0.5  => 0x184
SKILLSTATUS: "change defense" 100 40  => 0x185
SKILLSOUND: "023.023"  => 0x186
SKILLMETER: "Precision2" 1 1  => 0x187
SKILLMETER: "Precision1" 1 1  => 0x188
SKILLMETER: "Loop2" 1 0.5  => 0x189
SKILLFXSWING: "template_affinityWaterCast"  => 0x18a
SKILLEFFECT: "Shield Break" 100 0  => 0x18b
SKILLDISPLAYNAMEID: 4000  => 0x18c
SKILLDESCRIPTIONID: 6573  => 0x18d
SKILLDESCRIPTIONID: 6530  => 0x18e
SKILLCOMBATMODS: 0 0.7  => 0x18f
SKILLCOMBATMODS: -5 0.5  => 0x190
SKILLANIMTIME: "actBasic" 1  => 0x191
SKILLUSECLASS: "channeler"  => 0x192
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond petrified"  => 0x193
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond confused"  => 0x194
SKILLSTATUSDURATION2: "Permanent" 1  => 0x195
SKILLSTATUS: "change initiative" 100 -20  => 0x196
SKILLSTATUS: "change defense" 100 -30  => 0x197
SKILLSTATUS: "change accuracy" 100 -10  => 0x198
SKILLSOUND: "043.043"  => 0x199
SKILLRANGE: 2 "Plus"  => 0x19a
SKILLFXPROJECTILE: "template_affinityEarthProjectile"  => 0x19b
SKILLFX: "ursula_SpellcastHit"  => 0x19c
SKILLEFFECT: "Helmet Break" 50 0  => 0x19d
SKILLDISPLAYNAMEID: 4016  => 0x19e
SKILLDISPLAYNAMEID: 4015  => 0x19f
SKILLDISPLAYNAMEID: 3929  => 0x1a0
SKILLDESCRIPTIONID: 7939  => 0x1a1
SKILLDESCRIPTIONID: 7938  => 0x1a2
SKILLDESCRIPTIONID: 7937  => 0x1a3
SKILLDESCRIPTIONID: 6575  => 0x1a4
SKILLDESCRIPTIONID: 6549  => 0x1a5
SKILLDESCRIPTIONID: 6535  => 0x1a6
SKILLDESCRIPTIONID: 6534  => 0x1a7
SKILLCOMBATMODS: 0 0.699999988079071  => 0x1a8
SKILLCOMBATMODS: -5 1.5  => 0x1a9
SKILLCOMBATMODS: -5 0.4  => 0x1aa
SKILLANIMTIME: "actSwingR" 0.55  => 0x1ab
SKILLSTATUSSITUATIONUNITCONDITION: "skillattr req melee"  => 0x1ac
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond root"  => 0x1ad
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond charmed"  => 0x1ae
SKILLSTATUS: "petrification" 100 0  => 0x1af
SKILLRANGE: 4 "Plus"  => 0x1b0
SKILLRANGE: 3 "Plus"  => 0x1b1
SKILLPROJECTILE: "weapon1" "minusyaxis" 6  => 0x1b2
SKILLMETER: "Pound3" 1 1  => 0x1b3
SKILLMETER: "Pound1" 0.2 0.9  => 0x1b4
SKILLEFFECTFX: "template_targetHitBloodArm"  => 0x1b5
SKILLDISPLAYNAMEID: 4054  => 0x1b6
SKILLDISPLAYNAMEID: 4041  => 0x1b7
SKILLDISPLAYNAMEID: 4004  => 0x1b8
SKILLDESCRIPTIONID: 6698  => 0x1b9
SKILLDESCRIPTIONID: 6597  => 0x1ba
SKILLDESCRIPTIONID: 6536  => 0x1bb
SKILLATTRIBUTE: "dontface"  => 0x1bc
SKILLANIMTIME: "actSwingTR" 1  => 0x1bd
SKILLANIMSPEED: "actSwingL" 1  => 0x1be
SKILLANIM: "targetHead"  => 0x1bf
SKILLWEAPONREQ: "javelin"  => 0x1c0
SKILLTARGETCONDITION: "friend only not self"  => 0x1c1
SKILLSTATUSSITUATIONSTATUSCONDITION: "statuscond stunned"  => 0x1c2
SKILLSTATUSDURATION: "Stack Absolute" 200  => 0x1c3
SKILLSTATUSDURATION2: "Permanent" 0  => 0x1c4
SKILLRANGE: 2 "Diamond"  => 0x1c5
SKILLMETER: "Loop1" 1 0.5  => 0x1c6
SKILLFXSWING: "amazon_Wink"  => 0x1c7
SKILLFXPROJECTILE: "template_affinityFire2Projectile"  => 0x1c8
SKILLFXPROJECTILE: "template_affinityEarth2Projectile"  => 0x1c9
SKILLEFFECTFX: "template_targetHitBloodHead"  => 0x1ca
SKILLEFFECT: "Status Only" 50 1  => 0x1cb
SKILLDISPLAYNAMEID: 4368  => 0x1cc
SKILLDISPLAYNAMEID: 4367  => 0x1cd
SKILLDISPLAYNAMEID: 4366  => 0x1ce
SKILLDISPLAYNAMEID: 4022  => 0x1cf
SKILLDISPLAYNAMEID: 3605  => 0x1d0
SKILLDESCRIPTIONID: 7944  => 0x1d1
SKILLDESCRIPTIONID: 6857  => 0x1d2
SKILLDESCRIPTIONID: 6856  => 0x1d3
SKILLDESCRIPTIONID: 6559  => 0x1d4
SKILLDESCRIPTIONID: 6556  => 0x1d5
SKILLDESCRIPTIONID: 4870  => 0x1d6
SKILLCOMBATMODS: -5 1.2  => 0x1d7
SKILLCOMBATMODS: -5 0.899999976158142  => 0x1d8
SKILLCOMBATMODS: -10 2  => 0x1d9
SKILLANIMTIME: "actPThrust" 0.6  => 0x1da
SKILLANIMSPEED: "affinityAttack1" 1  => 0x1db
SKILLANIM: "actCast2"  => 0x1dc
SKILLAFFCOST: 30  => 0x1dd
SKILLUSECLASS: "bandit"  => 0x1de
SKILLUSECLASS: "Invalid"  => 0x1df
SKILLSTATUSTARGET: "Target Unit" 0 "Square"  => 0x1e0
SKILLSTATUSTARGET: "Target Area Caster" 32 "Square"  => 0x1e1
SKILLSTATUSSITUATIONUNITCONDITION: "friend only not self"  => 0x1e2
SKILLSTATUSDURATION: "Stack Target Mult" 5  => 0x1e3
SKILLSTATUSDURATION: "Stack Source Mult" 999  => 0x1e4
SKILLSTATUSDURATION: "Stack Source Mult" 3  => 0x1e5
SKILLSTATUS: "stun" 50 1  => 0x1e6
SKILLSTATUS: "poison" 100 1  => 0x1e7
SKILLSTATUS2: "immunity status" 100 1  => 0x1e8
SKILLSOUND: "024.024"  => 0x1e9
SKILLRANGE: 6 "Diamond"  => 0x1ea
SKILLRANGE: 32 "Square2x2"  => 0x1eb
SKILLPROJECTILE: "weapon1" "yaxis" 11  => 0x1ec
SKILLMETER: "Precision3" 1 1  => 0x1ed
SKILLLOOPANIM: "songLoop"  => 0x1ee
SKILLFXSWING: "galdr_song"  => 0x1ef
SKILLFXPROJECTILE: "template_affinityAir2Projectile"  => 0x1f0
SKILLFX: "template_targetHitBloodArm"  => 0x1f1
SKILLEFFECTRANGE: 2 "SourceLinear"  => 0x1f2
SKILLEFFECTRANGE: 1 "SrcLinear3x3"  => 0x1f3
SKILLEFFECTCONDITION: "all units"  => 0x1f4
SKILLEFFECT: "Retreat" 100 1  => 0x1f5
SKILLDISPLAYNAMEID: 5250  => 0x1f6
SKILLDISPLAYNAMEID: 5249  => 0x1f7
SKILLDISPLAYNAMEID: 1638  => 0x1f8
SKILLDESCRIPTIONID: 7948  => 0x1f9
SKILLDESCRIPTIONID: 7947  => 0x1fa
SKILLDESCRIPTIONID: 7946  => 0x1fb
SKILLDESCRIPTIONID: 7004  => 0x1fc
SKILLDESCRIPTIONID: 6860  => 0x1fd
SKILLDESCRIPTIONID: 6700  => 0x1fe
SKILLDESCRIPTIONID: 6554  => 0x1ff
SKILLDEFENDHANIM: "won"  => 0x200
SKILLCOMBATMODS: -5 0.9  => 0x201
SKILLCOMBATMODS: -5 0.699999988079071  => 0x202
SKILLANIMTIME: "actThrow" 1  => 0x203
SKILLANIMTIME: "actSwingZap" 0.55  => 0x204
SKILLANIMTIME: "actSwingTR" 0.6  => 0x205
SKILLANIMTIME: "actSwingT" 1  => 0x206
SKILLANIMTIME: "actBasic" 0.55  => 0x207
SKILLANIMTIME: "actAxeSwingTR" 1  => 0x208
